Date,Level
1921-01,-1.392103187
1921-02,-1.494680062
1921-03,-1.293203633
1921-04,-0.338960734
1921-05,-0.061501641
1921-06,-0.277061819
1921-07,-0.331200569
1921-08,-0.527297255
1921-09,-0.377866592
1921-10,-0.365596268
1921-11,0.444019173
1921-12,0.806174144
1922-01,0.524455154
1922-02,-0.288625142
1922-03,-0.27931159
1922-04,0.982395296
1922-05,1.328310297
1922-06,1.359494587
1922-07,1.197489076
1922-08,1.128743626
1922-09,1.395300681
1922-10,1.282830343
1922-11,1.005123518
1922-12,0.778735058
1923-01,0.917815052
1923-02,0.017717456
1923-03,-0.169682534
1923-04,0.159940451
1923-05,0.261805598
1923-06,0.301309357
1923-07,0.286130361
1923-08,0.027583835
1923-09,0.223304148
1923-10,0.31035284
1923-11,0.329839206
1923-12,1.182711267
1924-01,1.206715637
1924-02,0.954080995
1924-03,0.222836469
1924-04,0.616667441
1924-05,0.768231452
1924-06,0.690293516
1924-07,0.922702179
1924-08,0.649668897
1924-09,0.777449499
1924-10,0.893525402
1924-11,0.187352078
1924-12,-0.064701666
1925-01,-0.403264812
1925-02,-0.980205573
1925-03,-0.744311974
1925-04,-0.670509433
1925-05,-1.273673001
1925-06,-1.875640677
1925-07,-2.032366624
1925-08,-1.836717076
1925-09,-1.618789958
1925-10,-1.655660236
1925-11,-1.432503149
1925-12,-1.267506116
1926-01,-1.947650428
1926-02,-2.560877341
1926-03,-2.91176763
1926-04,-2.095832782
1926-05,-1.993455815
1926-06,-2.211053698
1926-07,-2.322360279
1926-08,-1.852297711
1926-09,-1.091297166
1926-10,0.041029498
1926-11,0.105895242
1926-12,0.378575242
1927-01,-0.307244941
1927-02,-0.871559847
1927-03,-1.191722645
1927-04,-0.64881017
1927-05,-0.836692745
1927-06,-0.718346206
1927-07,-0.795264955
1927-08,-0.800409168
1927-09,-0.970526586
1927-10,-0.920750263
1927-11,-0.818463896
1927-12,0.47808538
1928-01,0.567265451
1928-02,0.380044597
1928-03,-0.702685994
1928-04,-0.694551362
1928-05,-0.715892017
1928-06,-0.428226059
1928-07,0.100207209
1928-08,0.245424051
1928-09,-0.038626581
1928-10,0.05041338
1928-11,0.379575383
1928-12,0.84010176
1929-01,0.909054924
1929-02,1.041378843
