time1,level1
0,0
0.083333333,-1.392103187
0.166666667,-1.494680062
0.25,-1.293203633
0.333333333,-0.338960734
0.416666667,-0.061501641
0.5,-0.277061819
0.583333333,-0.331200569
0.666666667,-0.527297255
0.75,-0.377866592
0.833333333,-0.365596268
0.916666667,0.444019173
1,0.806174144
1.083333333,0.524455154
1.166666667,-0.288625142
1.25,-0.27931159
1.333333333,0.982395296
1.416666667,1.328310297
1.5,1.359494587
1.583333333,1.197489076
1.666666667,1.128743626
1.75,1.395300681
1.833333333,1.282830343
1.916666667,1.005123518
2,0.778735058
2.083333333,0.917815052
2.166666667,0.017717456
2.25,-0.169682534
2.333333333,0.159940451
2.416666667,0.261805598
2.5,0.301309357
2.583333333,0.286130361
2.666666667,0.027583835
2.75,0.223304148
2.833333333,0.31035284
2.916666667,0.329839206
3,1.182711267
3.083333333,1.206715637
3.166666667,0.954080995
3.25,0.222836469
3.333333333,0.616667441
3.416666667,0.768231452
3.5,0.690293516
3.583333333,0.922702179
3.666666667,0.649668897
3.75,0.777449499
3.833333333,0.893525402
3.916666667,0.187352078
4,-0.064701666
4.083333333,-0.403264812
4.166666667,-0.980205573
4.25,-0.744311974
4.333333333,-0.670509433
4.416666667,-1.273673001
4.5,-1.875640677
4.583333333,-2.032366624
4.666666667,-1.836717076
4.75,-1.618789958
4.833333333,-1.655660236
4.916666667,-1.432503149
5,-1.267506116
5.083333333,-1.947650428
5.166666667,-2.560877341
5.25,-2.91176763
5.333333333,-2.095832782
5.416666667,-1.993455815
5.5,-2.211053698
5.583333333,-2.322360279
5.666666667,-1.852297711
5.75,-1.091297166
5.833333333,0.041029498
5.916666667,0.105895242
6,0.378575242
6.083333333,-0.307244941
6.166666667,-0.871559847
6.25,-1.191722645
6.333333333,-0.64881017
6.416666667,-0.836692745
6.5,-0.718346206
6.583333333,-0.795264955
6.666666667,-0.800409168
6.75,-0.970526586
6.833333333,-0.920750263
6.916666667,-0.818463896
7,0.47808538
7.083333333,0.567265451
7.166666667,0.380044597
7.25,-0.702685994
7.333333333,-0.694551362
7.416666667,-0.715892017
7.5,-0.428226059
7.583333333,0.100207209
7.666666667,0.245424051
7.75,-0.038626581
7.833333333,0.05041338
7.916666667,0.379575383
8,0.84010176
8.083333333,0.909054924
8.166666667,1.041378843
8.25,1.376222608
8.333333333,2.822426955
8.416666667,3.536195176
8.5,3.230480409
8.583333333,3.015311034
8.666666667,2.64569118
8.75,2.473276744
8.833333333,2.274926257
8.916666667,2.526095165
9,2.849524134
9.083333333,4.012979422
9.166666667,3.436390712
9.25,3.593175731
9.333333333,3.720652193
9.416666667,3.154578437
9.5,2.460389626
9.583333333,2.010391727
9.666666667,1.48158549
9.75,1.321341392
9.833333333,1.249025157
9.916666667,0.979522508
10,1.067078777
10.08333333,0.626170872
10.16666667,-0.228278246
10.25,-1.336573989
10.33333333,-1.279912762
10.41666667,-1.195972383
10.5,-1.162827258
10.58333333,-1.019886199
10.66666667,-0.972145414
10.75,-0.935514421
10.83333333,-0.812115933
10.91666667,-0.67662982
11,-0.338301914
11.08333333,0.686059919
11.16666667,0.914377359
11.25,0.318628109
11.33333333,-0.022891742
11.41666667,0.041710716
11.5,-0.32414204
11.58333333,-0.521568074
11.66666667,-0.643556008
